Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2019;29.932
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2018;28.531
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2017;27.372
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por hogar;2016;26.512
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2023;16.423
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2022;15.681
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2021;14.718
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2020;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2019;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2018;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2017;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2016;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2023;42.714
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2022;40.760
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2021;38.267
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2020;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2019;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2018;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2017;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por hogar;2016;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2023;17.806
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2022;16.403
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2021;15.539
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2020;14.962
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2019;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2018;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2017;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2016;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2023;41.914
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2022;38.586
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2021;36.546
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2020;35.412
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2019;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2018;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2017;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por hogar;2016;""
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2023;18.738
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2022;17.225
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2021;16.192
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2020;15.555
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2019;15.547
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2018;15.047
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2017;14.605
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2016;14.216
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2023;44.425
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2022;40.694
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2021;38.390
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2020;37.242
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2019;37.523
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2018;36.364
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2017;35.326
Total Nacional;País Vasco;Bizkaia;;Renta neta media por hogar;2016;34.622
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2023;19.616
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2022;18.325
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2021;16.887
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2020;16.399
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2019;16.463
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2018;15.891
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2017;15.372
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2016;15.090
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2023;46.514
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2022;43.392
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2021;39.988
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2020;39.023
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2019;39.283
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2018;37.797
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2017;36.586
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por hogar;2016;35.751
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2023;14.827
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2022;13.864
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2021;13.215
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2020;12.738
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2019;12.930
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2018;12.460
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2017;11.914
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2016;11.536
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2023;35.555
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2022;33.314
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2021;31.884
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2020;30.843
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2019;31.535
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2018;30.286
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2017;29.070
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por hogar;2016;28.333
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2023;14.625
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2022;13.673
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2021;13.030
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2020;12.358
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2019;12.038
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2018;11.448
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2017;10.767
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2016;10.696
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2023;44.907
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2022;42.318
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2021;40.660
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2020;39.330
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2019;38.628
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2018;37.090
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2017;35.274
Total Nacional;Ceuta;Ceuta;;Renta neta media por hogar;2016;35.381
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2023;13.995
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2022;13.140
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2021;12.506
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2020;11.665
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2019;11.463
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2018;10.925
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2017;10.314
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2016;10.176
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2023;45.989
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2022;43.422
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2021;41.846
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2020;39.868
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2019;39.730
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2018;37.829
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2017;36.128
Total Nacional;Melilla;Melilla;;Renta neta media por hogar;2016;35.748
