Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2023;13.602
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2022;12.684
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2021;12.123
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2020;11.577
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2019;11.322
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2018;10.822
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2017;10.291
Total Nacional;Castilla y León;Ávila;;Renta neta media por persona;2016;9.925
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2023;30.159
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2022;28.227
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2021;27.023
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2020;26.065
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2019;25.530
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2018;24.593
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2017;23.596
Total Nacional;Castilla y León;Ávila;;Renta neta media por hogar;2016;22.877
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2023;15.988
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2022;15.017
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2021;14.357
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2020;13.777
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2019;13.713
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2018;13.316
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2017;12.701
Total Nacional;Castilla y León;Burgos;;Renta neta media por persona;2016;12.375
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2023;36.605
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2022;34.530
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2021;33.203
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2020;32.078
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2019;32.106
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2018;31.240
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2017;29.949
Total Nacional;Castilla y León;Burgos;;Renta neta media por hogar;2016;29.391
Total Nacional;Castilla y León;León;;Renta neta media por persona;2023;15.110
Total Nacional;Castilla y León;León;;Renta neta media por persona;2022;14.144
Total Nacional;Castilla y León;León;;Renta neta media por persona;2021;13.400
Total Nacional;Castilla y León;León;;Renta neta media por persona;2020;12.917
Total Nacional;Castilla y León;León;;Renta neta media por persona;2019;12.755
Total Nacional;Castilla y León;León;;Renta neta media por persona;2018;12.222
Total Nacional;Castilla y León;León;;Renta neta media por persona;2017;11.702
Total Nacional;Castilla y León;León;;Renta neta media por persona;2016;11.350
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2023;33.378
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2022;31.392
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2021;30.024
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2020;29.196
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2019;29.060
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2018;28.009
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2017;27.038
Total Nacional;Castilla y León;León;;Renta neta media por hogar;2016;26.563
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2023;15.147
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2022;14.251
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2021;13.624
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2020;13.153
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2019;13.010
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2018;12.525
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2017;12.024
Total Nacional;Castilla y León;Palencia;;Renta neta media por persona;2016;11.752
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2023;34.037
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2022;32.105
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2021;31.008
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2020;30.176
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2019;30.010
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2018;28.971
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2017;28.036
Total Nacional;Castilla y León;Palencia;;Renta neta media por hogar;2016;27.629
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2023;14.583
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2022;13.610
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2021;12.920
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2020;12.355
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2019;12.240
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2018;11.762
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2017;11.278
Total Nacional;Castilla y León;Salamanca;;Renta neta media por persona;2016;10.926
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2023;32.411
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2022;30.435
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2021;29.176
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2020;28.130
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2019;28.050
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2018;26.989
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2017;26.127
Total Nacional;Castilla y León;Salamanca;;Renta neta media por hogar;2016;25.481
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2023;14.949
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2022;13.956
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2021;13.324
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2020;12.722
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2019;12.482
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2018;11.922
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2017;11.378
Total Nacional;Castilla y León;Segovia;;Renta neta media por persona;2016;11.025
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2023;35.688
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2022;33.362
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2021;32.028
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2020;30.787
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2019;30.477
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2018;29.158
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2017;28.014
Total Nacional;Castilla y León;Segovia;;Renta neta media por hogar;2016;27.328
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2023;15.626
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2022;14.721
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2021;14.385
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2020;13.889
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2019;13.353
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2018;12.907
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2017;12.377
Total Nacional;Castilla y León;Soria;;Renta neta media por persona;2016;11.961
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2023;35.904
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2022;33.830
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2021;33.138
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2020;32.372
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2019;31.235
Total Nacional;Castilla y León;Soria;;Renta neta media por hogar;2018;30.202
